activityId,activityName,windowDist_m,bestPace_s_per_km
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",30.5,214.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",63.5,230.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",96.2,234.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",127.8,239.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",158.2,243.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",186.8,246.3
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",216.8,251.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",243.5,271.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",274.1,294.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",303.8,295.2
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",331.7,296.2
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",362.3,297.3
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",390.1,298.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",423.4,299.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",454.0,301.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",485.6,301.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",516.5,301.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",543.5,301.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",571.3,302.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",602.0,302.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",630.6,302.3
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",662.8,302.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",694.3,302.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",724.6,301.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",753.6,301.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",785.4,301.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",816.4,301.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",847.7,301.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",879.0,303.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",909.7,303.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",935.5,304.2
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",961.6,303.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",990.9,303.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1019.7,303.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1049.1,303.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1080.9,304.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1112.0,303.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1139.5,303.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1168.5,304.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1197.4,303.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1225.1,303.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1253.8,303.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1282.9,303.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1313.3,304.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1339.9,303.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1369.0,303.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1397.8,304.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1426.2,304.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1452.6,304.2
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1483.0,304.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1511.3,304.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1541.4,304.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1571.1,304.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1598.8,304.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1627.1,304.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1654.5,304.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1680.6,304.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1714.1,304.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1747.8,304.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1776.7,304.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1806.9,304.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1836.5,304.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1867.0,304.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1894.0,304.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1920.9,304.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1949.8,305.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",1979.3,305.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2005.5,304.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2040.9,304.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2069.9,304.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2099.6,304.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2124.8,304.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2151.6,304.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2178.9,304.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2205.8,304.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2237.7,304.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2263.9,304.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2290.8,304.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2319.2,305.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2347.8,305.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2376.1,305.3
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2403.0,305.3
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2429.9,305.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2456.9,305.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2485.2,305.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2510.0,305.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2548.0,305.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2576.1,305.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2602.7,305.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2630.3,305.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2656.8,305.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2684.9,305.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2715.8,305.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2746.0,305.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2771.3,305.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2800.9,305.3
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2827.4,305.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2853.9,305.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2881.3,305.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2908.3,305.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2934.0,305.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2961.9,305.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",2986.5,305.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3011.2,306.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3036.5,306.2
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3065.1,306.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3091.6,306.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3117.4,306.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3144.5,306.2
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3171.0,306.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3199.1,306.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3226.4,306.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3256.4,306.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3281.1,306.2
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3303.6,306.2
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3335.8,306.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3365.2,306.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3392.0,306.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3417.9,306.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3446.9,306.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3472.5,306.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3503.1,307.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3530.5,307.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3557.6,307.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3586.0,306.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3614.0,306.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3637.5,307.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3666.7,306.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3687.4,306.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3716.0,306.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3745.9,306.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3772.7,306.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3804.0,306.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3836.8,306.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3869.1,306.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3904.6,306.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3939.3,307.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",3973.8,307.2
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4010.2,308.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4040.9,308.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4070.3,309.3
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4103.1,309.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4136.5,310.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4170.2,310.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4200.9,310.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4231.5,311.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4264.8,311.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4295.6,311.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4326.0,312.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4358.5,312.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4387.7,312.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4419.4,313.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4451.4,313.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4488.8,314.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4522.5,314.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4555.0,315.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4587.7,315.3
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4622.8,315.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4655.5,316.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4688.4,316.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4721.1,317.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4755.9,317.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4788.4,318.2
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4813.0,318.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4846.6,318.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4880.8,319.2
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4913.5,319.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4945.5,319.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",4978.1,319.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5011.0,320.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5043.4,320.2
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5077.7,320.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5109.2,320.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5143.8,320.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5175.8,320.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5206.7,321.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5239.3,321.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5268.3,321.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5304.5,321.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5337.6,322.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5370.3,322.3
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5402.5,322.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5435.7,322.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5470.1,322.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5499.6,323.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5535.3,323.3
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5569.7,323.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5602.5,323.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5633.2,324.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5666.7,323.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5701.2,324.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5732.4,324.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5762.3,324.3
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5797.5,324.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5829.5,324.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5861.8,324.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5894.7,324.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5926.8,324.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5959.6,324.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",5992.4,324.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6026.0,324.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6058.6,325.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6088.7,325.2
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6120.5,325.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6155.4,325.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6189.5,325.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6222.1,325.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6253.9,325.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6285.9,326.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6320.0,326.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6352.3,326.2
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6383.7,326.3
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6418.4,326.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6451.2,326.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6486.3,326.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6519.3,326.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6552.0,326.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6583.4,327.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6618.6,327.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6650.4,326.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6680.7,327.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6714.8,327.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6745.7,327.2
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6778.9,327.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6809.1,327.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6824.7,327.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6858.3,327.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6890.8,327.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6925.2,327.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6959.3,327.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",6991.7,327.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7026.2,327.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7061.5,327.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7093.6,327.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7125.5,327.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7157.6,327.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7189.5,327.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7223.4,327.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7255.0,327.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7285.1,327.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7316.7,327.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7351.0,327.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7385.1,327.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7414.8,327.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7450.5,327.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7483.3,328.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7516.7,328.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7549.9,328.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7585.5,328.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7619.7,327.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7652.0,327.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7685.7,327.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7703.1,328.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7717.4,329.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7734.2,329.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7747.7,330.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7762.1,331.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7776.0,331.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7790.3,332.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7804.4,333.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7818.3,333.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7832.4,334.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7848.9,335.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7863.2,335.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7876.9,336.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7890.8,337.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7904.3,337.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7917.9,337.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7932.0,337.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7946.9,337.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7980.1,338.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8021.8,337.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8062.7,337.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8102.1,337.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8140.2,337.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8176.0,337.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8193.2,338.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8208.3,338.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8221.5,339.3
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8239.4,339.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8252.7,339.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8266.1,339.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8296.8,339.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8336.1,339.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8376.4,339.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8411.5,339.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8450.4,339.3
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8487.3,339.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8506.9,339.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8520.3,340.3
